id,img,gt,fold,label
0,data2d/Instance_001_000.npy,label2d/Instance_001_000_seg.npy,3,0
1,data2d/Instance_001_001.npy,label2d/Instance_001_001_seg.npy,1,0
2,data2d/Instance_001_002.npy,label2d/Instance_001_002_seg.npy,0,0
3,data2d/Instance_001_003.npy,label2d/Instance_001_003_seg.npy,4,0
4,data2d/Instance_001_004.npy,label2d/Instance_001_004_seg.npy,0,0
5,data2d/Instance_001_005.npy,label2d/Instance_001_005_seg.npy,1,0
6,data2d/Instance_001_006.npy,label2d/Instance_001_006_seg.npy,1,0
7,data2d/Instance_001_007.npy,label2d/Instance_001_007_seg.npy,2,139
8,data2d/Instance_001_008.npy,label2d/Instance_001_008_seg.npy,1,59
9,data2d/Instance_001_009.npy,label2d/Instance_001_009_seg.npy,1,0
10,data2d/Instance_001_010.npy,label2d/Instance_001_010_seg.npy,2,0
11,data2d/Instance_001_011.npy,label2d/Instance_001_011_seg.npy,3,0
12,data2d/Instance_001_012.npy,label2d/Instance_001_012_seg.npy,2,0
13,data2d/Instance_001_013.npy,label2d/Instance_001_013_seg.npy,3,0
14,data2d/Instance_001_014.npy,label2d/Instance_001_014_seg.npy,1,0
15,data2d/Instance_001_015.npy,label2d/Instance_001_015_seg.npy,0,0
16,data2d/Instance_001_016.npy,label2d/Instance_001_016_seg.npy,1,0
17,data2d/Instance_001_017.npy,label2d/Instance_001_017_seg.npy,2,0
18,data2d/Instance_001_018.npy,label2d/Instance_001_018_seg.npy,3,0
19,data2d/Instance_001_019.npy,label2d/Instance_001_019_seg.npy,3,0
20,data2d/Instance_001_020.npy,label2d/Instance_001_020_seg.npy,2,0
21,data2d/Instance_001_021.npy,label2d/Instance_001_021_seg.npy,0,0
22,data2d/Instance_001_022.npy,label2d/Instance_001_022_seg.npy,2,0
23,data2d/Instance_001_023.npy,label2d/Instance_001_023_seg.npy,3,0
24,data2d/Instance_001_024.npy,label2d/Instance_001_024_seg.npy,3,0
25,data2d/Instance_001_025.npy,label2d/Instance_001_025_seg.npy,1,0
26,data2d/Instance_001_026.npy,label2d/Instance_001_026_seg.npy,3,0
27,data2d/Instance_001_027.npy,label2d/Instance_001_027_seg.npy,2,0
28,data2d/Instance_001_028.npy,label2d/Instance_001_028_seg.npy,2,0
29,data2d/Instance_002_000.npy,label2d/Instance_002_000_seg.npy,1,0
30,data2d/Instance_002_001.npy,label2d/Instance_002_001_seg.npy,1,0
31,data2d/Instance_002_002.npy,label2d/Instance_002_002_seg.npy,2,0
32,data2d/Instance_002_003.npy,label2d/Instance_002_003_seg.npy,3,0
33,data2d/Instance_002_004.npy,label2d/Instance_002_004_seg.npy,3,0
34,data2d/Instance_002_005.npy,label2d/Instance_002_005_seg.npy,2,0
35,data2d/Instance_002_006.npy,label2d/Instance_002_006_seg.npy,3,0
36,data2d/Instance_002_007.npy,label2d/Instance_002_007_seg.npy,4,0
37,data2d/Instance_002_008.npy,label2d/Instance_002_008_seg.npy,3,0
38,data2d/Instance_002_009.npy,label2d/Instance_002_009_seg.npy,4,0
